id,quality
1257,6.75384356944531
6409,5.429771870520317
136,4.9970729976433494
1631,6.636990208427812
6084,5.380711600035096
5434,5.32939000596982
1094,5.426380027988526
5146,6.3581006684436
5921,6.706545118496464
1076,5.7616181550043954
616,5.326539743051893
4336,6.3465970625323385
219,6.145796600180425
6403,5.6809232611825164
2397,6.3651177980316564
5240,5.044795801783914
3696,5.28844276824768
1070,6.329588218526128
5890,5.574586707311323
1270,5.416602250392418
4641,5.4141202651577185
5299,6.242657077868321
2494,5.412900686703212
5276,6.856906065123237
332,5.892926172991158
3671,5.083436730686219
6367,5.58852987225501
5681,6.0134199424452
1741,5.372974440423774
4715,6.030339270224075
1114,6.027176790701784
4105,5.938221222940598
825,6.379463148908821
88,6.473154311369352
4551,6.313415149859244
227,5.156594251033752
1369,6.32078397609719
3722,6.034787834049059
2341,6.162126778768546
4882,6.379662180168711
2382,5.050480648725813
4075,6.304366534599749
687,5.110257807171224
2350,5.069209333149626
2634,5.052042114263314
5751,5.104590657124407
5934,5.487665390392362
6286,5.969112175799462
6004,5.651210052416666
4696,6.141374509502845
5628,6.08440853827024
3066,5.18514858105467
6267,5.2136433153939645
3950,5.695359277302792
1834,5.594439934756365
848,6.636517141341724
5852,5.6928001573057765
3034,5.550437710860188
1074,6.075476740957942
1184,5.180337105297356
3788,6.322068371799254
3267,6.316308025954991
5640,5.560755576884596
2076,5.699994585481599
4634,4.9630102677888
2075,5.833113027717827
5741,6.098368835161335
5008,6.601033359538455
1485,5.183332282447291
2010,5.624744442325285
1899,5.239768373573501
3514,5.536840290780992
5819,5.083228037105558
5040,6.165947462825249
3998,4.855547494746913
6425,6.159623216622125
1733,5.216224739011051
2925,5.418379023765532
1528,5.432797452498872
2332,5.944965607465334
3492,5.076050758140132
6177,5.125097630078602
5338,6.5207885496004385
2599,5.650684794318487
512,5.345715863017081
5118,5.79801300898508
4024,6.644328695112761
1095,5.1061548809021255
965,5.953919407816837
1163,5.125872498434127
5773,5.67005166496604
4154,5.258479379594094
2968,5.250405206923815
2294,6.233468453566583
2652,6.140369537116049
4632,5.104590657124407
4585,5.388619604036033
754,5.0761599942705
3471,6.675074842374689
3506,5.11338116183549
1513,5.906202413329288
210,6.01664938342069
664,5.112347395895326
6414,5.652453780692903
2418,5.105746140541272
2468,6.438745232628582
1127,6.334660412473415
4820,5.865994259984413
495,5.640264237027607
6256,5.211470570378389
2732,5.133564772414112
3053,6.005551219424341
2954,5.398895977403685
3663,5.139082542964964
4410,5.848813319769235
2153,5.205827665357836
4691,5.738527617915813
2971,5.762505602054366
2616,5.30785521641101
102,5.186450563039403
1610,5.1805539093256545
3766,5.773395927790368
3072,6.034967648916629
2951,5.685253647696215
2087,5.3056595984263515
4593,5.787277158752784
6184,5.292901594495353
3347,5.6638382160470035
2806,5.93476634164514
3083,5.631499309689446
1815,5.060779527952928
4814,5.350963252132937
6316,5.549628742254951
6480,5.8313246375486365
6471,5.102705389226013
3173,6.145866584397119
3539,5.216320267414734
1247,5.872400275961827
2778,4.899990260707461
3534,5.7383474351276895
963,6.445960943492163
708,5.988913879793888
4145,5.172722458353801
1594,6.3213650746795995
5734,5.125872498434127
1304,6.583133921088186
3748,6.289440720786151
6189,5.393532032882837
3245,5.865924904964169
3697,5.775328056612839
1859,5.7907383400087165
475,5.792175617095574
4161,6.027176790701784
775,5.783831181413468
2486,6.279225646033365
2791,6.056544297187274
3583,6.285851016982899
6186,6.534428555124821
5924,6.0572146816102075
4788,5.232881384808616
2589,6.064340876460303
5305,6.390931994528873
3164,5.2092419864344075
451,6.388488930038516
2376,5.183794456740621
13,6.141374509502845
4807,5.696894940946631
2748,5.084177031111759
4499,5.824927878504722
5033,5.333359366318268
2910,5.008183294011432
5570,5.807225665142305
2488,6.636990208427812
4109,6.686488265228459
4195,5.632527632800448
1881,5.9550683781403375
2242,5.738657963816129
758,6.989664558623929
1474,6.022116005746745
5610,5.265241181173634
5587,5.177278146108136
1970,5.658714793802214
2657,5.147921203375748
4859,5.678981765656766
4333,6.548755079836666
6492,5.952393282362319
543,5.177304498849429
4270,6.522364978173991
3804,5.88149090656158
450,5.909623927036948
2786,6.0742357316723785
3967,6.270418623882336
5568,6.103494548827551
2682,5.112347395895326
2277,5.17730890381885
3946,5.514338738340095
4308,5.190217788976331
856,6.127391743520335
1279,5.127109904665033
3987,5.192602601335396
5536,5.944965607465334
345,6.887077278337202
2172,6.030494173091436
2834,5.572854086017871
1286,5.762998380280086
6350,4.962593637825178
1908,6.7097227817836815
5070,5.155777924464339
2933,6.636990208427812
1486,6.668347893814349
4128,5.133564772414112
1882,5.658661034591745
2937,6.579109743880634
4329,5.104594563809891
3839,5.4046430090564614
4457,6.380898856717784
2773,6.260148954335337
4055,5.341478398402918
2437,6.380857448811859
1307,5.720673269914144
2912,6.479953617671649
987,6.031970655623146
5726,5.0761599942705
5554,5.003535698943158
3931,4.901908054891626
31,6.119803908593973
2800,6.103494548827551
3738,6.025993800196114
2716,5.334070557721536
270,5.052768541455976
5752,5.146799568557813
6226,5.4608781916064615
3880,6.276056423650955
1258,5.661796577774178
2441,5.220366570333416
5410,7.277105333466873
5912,5.844992270122287
1411,6.594032650243191
3584,6.596276689702321
6234,4.991303690797339
4577,5.118326538281638
5471,5.383875571394182
2354,5.452521933945997
4310,6.141374509502845
4225,6.50672194430391
521,5.3072727762142815
2938,5.459685379109068
5865,5.479506658215418
5590,5.448254462907909
372,5.607683629195184
6059,5.1262537075748025
167,6.465581821257053
5936,5.973768556981736
5411,5.223307020955941
3507,5.237738772735747
